date,region_id,type_id,average,lowest,highest,volume,order_count
2020-03-30,10000043,45912,6599500,4450000,8749000,2,2
2020-03-30,10000043,45913,3902000,3902000,3902000,1,1
2020-03-30,10000043,45914,8900000,8900000,8900000,1,1
2020-03-30,10000043,45915,11999888.77,11999888.77,11999888.77,1,1
2020-03-30,10000043,45917,1750000,1750000,1750000,2,2
2020-03-30,10000043,45923,2800000,2800000,2800000,1,1
2020-03-30,10000043,45925,2800000,2800000,2800000,2,2
2020-03-30,10000043,45926,900000,900000,900000,1,1
2020-03-30,10000043,45927,15000000,15000000,15000000,1,1
2020-03-30,10000043,45931,2800000,2800000,2800000,2,2
2020-03-30,10000043,45932,48010,48010,48010,1,1
2020-03-30,10000043,45933,425000,400000,450000,2,2
2020-03-30,10000043,45935,97505,95010,100000,2,2
2020-03-30,10000043,45936,162500,75000,250000,2,2
2020-03-30,10000043,45937,80000,80000,80000,1,1
2020-03-30,10000043,45938,1.01,1.01,1.01,1,1
2020-03-30,10000043,45939,800000,800000,800000,1,1
2020-03-30,10000043,45940,490100,490100,490100,1,1
2020-03-30,10000043,45941,199900,199900,199900,1,1
2020-03-30,10000043,45942,2966333.33,2449500,4000000,3,3
2020-03-30,10000043,45943,80000,80000,80000,1,1
2020-03-30,10000043,45944,400000,400000,400000,1,1
2020-03-30,10000043,45945,350000,350000,350000,1,1
2020-03-30,10000043,45947,1200000,1200000,1200000,1,1
2020-03-30,10000043,45948,1685000,1685000,1685000,1,1
2020-03-30,10000043,45949,275000,250000,300000,2,2
2020-03-30,10000043,45950,225050.06,100.11,450000,2,2
2020-03-30,10000043,45951,500000,500000,500000,1,1
2020-03-30,10000043,45952,250000,250000,250000,1,1
2020-03-30,10000043,45954,2501000,2501000,2501000,1,1
2020-03-30,10000043,45955,430000.5,1,860000,2,2
2020-03-30,10000043,45956,900000,900000,900000,1,1
2020-03-30,10000043,45957,1000000,1000000,1000000,1,1
2020-03-30,10000043,45958,200000,200000,200000,1,1
2020-03-30,10000043,45959,5900000,5900000,5900000,1,1
2020-03-30,10000043,45960,90000,90000,90000,1,1
2020-03-30,10000043,45961,4500000,4500000,4500000,2,2
2020-03-30,10000043,45962,1699999.99,1699999.99,1699999.99,1,1
2020-03-30,10000043,45963,2000000,2000000,2000000,1,1
2020-03-30,10000043,45965,1045000,990000,1100000,2,2
2020-03-30,10000043,45967,1580000,1580000,1580000,1,1
2020-03-30,10000043,45968,1850500,1701000,2000000,2,2
2020-03-30,10000043,45969,1000000,1000000,1000000,1,1
2020-03-30,10000043,45970,1990000,1990000,1990000,1,1
2020-03-30,10000043,45971,2000000,2000000,2000000,1,1
2020-03-30,10000043,45972,7000000,7000000,7000000,2,2
2020-03-30,10000043,45973,1200000,1200000,1200000,1,1
2020-03-30,10000043,45974,1250000,1250000,1250000,1,1
2020-03-30,10000043,45975,2250000,2250000,2250000,1,1
2020-03-30,10000043,45976,1200000,1200000,1200000,1,1
2020-03-30,10000043,45977,748900,748900,748900,1,1
2020-03-30,10000043,45978,1100000,1100000,1100000,1,1
2020-03-30,10000043,45979,9999998.94,9999998.94,9999998.94,1,1
2020-03-30,10000043,45982,2000000,2000000,2000000,1,1
